Time: 2025-04-07 20:24:44, Event ID: 4738, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
Time: 2025-04-07 20:24:43, Event ID: 5379, Source: Microsoft-Windows-Security-Auditing
